Date,Open,Close,Past_1_Days_Close,Past_2_Days_Close,Past_3_Days_Close,Past_4_Days_Close,Past_5_Days_Close,Past_6_Days_Close,Past_7_Days_Close,Past_8_Days_Close,Past_9_Days_Close,Past_10_Days_Close,Past_11_Days_Close,Past_12_Days_Close,Past_13_Days_Close,Past_14_Days_Close,Past_15_Days_Close
2024-01-22,37.50,37.70,37.70,37.53,37.73,37.88,38.10,38.58,38.17,38.07,37.75,38.10,38.43,38.72,38.63,38.96,37.78
2024-01-23,37.84,38.17,38.17,37.70,37.53,37.73,37.88,38.10,38.58,38.17,38.07,37.75,38.10,38.43,38.72,38.63,38.96
2024-01-24,38.29,37.88,37.88,38.17,37.70,37.53,37.73,37.88,38.10,38.58,38.17,38.07,37.75,38.10,38.43,38.72,38.63
2024-01-25,38.26,39.28,39.28,37.88,38.17,37.70,37.53,37.73,37.88,38.10,38.58,38.17,38.07,37.75,38.10,38.43,38.72
2024-01-26,39.10,39.96,39.96,39.28,37.88,38.17,37.70,37.53,37.73,37.88,38.10,38.58,38.17,38.07,37.75,38.10,38.43
2024-01-29,40.00,40.57,40.57,39.96,39.28,37.88,38.17,37.70,37.53,37.73,37.88,38.10,38.58,38.17,38.07,37.75,38.10
2024-01-30,40.17,40.32,40.32,40.57,39.96,39.28,37.88,38.17,37.70,37.53,37.73,37.88,38.10,38.58,38.17,38.07,37.75
2024-01-31,40.23,40.76,40.76,40.32,40.57,39.96,39.28,37.88,38.17,37.70,37.53,37.73,37.88,38.10,38.58,38.17,38.07
2024-02-01,40.78,41.57,41.57,40.76,40.32,40.57,39.96,39.28,37.88,38.17,37.70,37.53,37.73,37.88,38.10,38.58,38.17
2024-02-02,41.58,41.03,41.03,41.57,40.76,40.32,40.57,39.96,39.28,37.88,38.17,37.70,37.53,37.73,37.88,38.10,38.58
2024-02-05,41.01,41.21,41.21,41.03,41.57,40.76,40.32,40.57,39.96,39.28,37.88,38.17,37.70,37.53,37.73,37.88,38.10
2024-02-06,41.45,41.59,41.59,41.21,41.03,41.57,40.76,40.32,40.57,39.96,39.28,37.88,38.17,37.70,37.53,37.73,37.88
2024-02-07,41.52,42.20,42.20,41.59,41.21,41.03,41.57,40.76,40.32,40.57,39.96,39.28,37.88,38.17,37.70,37.53,37.73
2024-02-08,42.30,41.86,41.86,42.20,41.59,41.21,41.03,41.57,40.76,40.32,40.57,39.96,39.28,37.88,38.17,37.70,37.53
2024-02-09,42.14,41.30,41.30,41.86,42.20,41.59,41.21,41.03,41.57,40.76,40.32,40.57,39.96,39.28,37.88,38.17,37.70
2024-02-14,41.10,40.99,40.99,41.30,41.86,42.20,41.59,41.21,41.03,41.57,40.76,40.32,40.57,39.96,39.28,37.88,38.17
2024-02-15,41.01,42.30,42.30,40.99,41.30,41.86,42.20,41.59,41.21,41.03,41.57,40.76,40.32,40.57,39.96,39.28,37.88
2024-02-16,42.09,42.69,42.69,42.30,40.99,41.30,41.86,42.20,41.59,41.21,41.03,41.57,40.76,40.32,40.57,39.96,39.28
2024-02-19,42.76,42.90,42.90,42.69,42.30,40.99,41.30,41.86,42.20,41.59,41.21,41.03,41.57,40.76,40.32,40.57,39.96
2024-02-20,42.77,42.45,42.45,42.90,42.69,42.30,40.99,41.30,41.86,42.20,41.59,41.21,41.03,41.57,40.76,40.32,40.57
2024-02-21,42.45,42.51,42.51,42.45,42.90,42.69,42.30,40.99,41.30,41.86,42.20,41.59,41.21,41.03,41.57,40.76,40.32
2024-02-22,42.67,42.19,42.19,42.51,42.45,42.90,42.69,42.30,40.99,41.30,41.86,42.20,41.59,41.21,41.03,41.57,40.76
2024-02-23,42.14,41.90,41.90,42.19,42.51,42.45,42.90,42.69,42.30,40.99,41.30,41.86,42.20,41.59,41.21,41.03,41.57
2024-02-26,41.90,42.69,42.69,41.90,42.19,42.51,42.45,42.90,42.69,42.30,40.99,41.30,41.86,42.20,41.59,41.21,41.03
2024-02-27,42.70,42.63,42.63,42.69,41.90,42.19,42.51,42.45,42.90,42.69,42.30,40.99,41.30,41.86,42.20,41.59,41.21
2024-02-28,42.52,40.43,40.43,42.63,42.69,41.90,42.19,42.51,42.45,42.90,42.69,42.30,40.99,41.30,41.86,42.20,41.59
2024-02-29,40.59,40.14,40.14,40.43,42.63,42.69,41.90,42.19,42.51,42.45,42.90,42.69,42.30,40.99,41.30,41.86,42.20
2024-03-01,40.35,40.18,40.18,40.14,40.43,42.63,42.69,41.90,42.19,42.51,42.45,42.90,42.69,42.30,40.99,41.30,41.86
2024-03-04,40.27,40.08,40.08,40.18,40.14,40.43,42.63,42.69,41.90,42.19,42.51,42.45,42.90,42.69,42.30,40.99,41.30
2024-03-05,40.10,39.96,39.96,40.08,40.18,40.14,40.43,42.63,42.69,41.90,42.19,42.51,42.45,42.90,42.69,42.30,40.99
2024-03-06,40.20,40.84,40.84,39.96,40.08,40.18,40.14,40.43,42.63,42.69,41.90,42.19,42.51,42.45,42.90,42.69,42.30
2024-03-07,40.64,40.39,40.39,40.84,39.96,40.08,40.18,40.14,40.43,42.63,42.69,41.90,42.19,42.51,42.45,42.90,42.69
2024-03-08,35.90,36.70,36.70,40.39,40.84,39.96,40.08,40.18,40.14,40.43,42.63,42.69,41.90,42.19,42.51,42.45,42.90
2024-03-11,35.67,35.65,35.65,36.70,40.39,40.84,39.96,40.08,40.18,40.14,40.43,42.63,42.69,41.90,42.19,42.51,42.45
2024-03-12,36.35,36.82,36.82,35.65,36.70,40.39,40.84,39.96,40.08,40.18,40.14,40.43,42.63,42.69,41.90,42.19,42.51
2024-03-13,36.90,36.38,36.38,36.82,35.65,36.70,40.39,40.84,39.96,40.08,40.18,40.14,40.43,42.63,42.69,41.90,42.19
2024-03-14,36.74,36.22,36.22,36.38,36.82,35.65,36.70,40.39,40.84,39.96,40.08,40.18,40.14,40.43,42.63,42.69,41.90
2024-03-15,36.30,36.32,36.32,36.22,36.38,36.82,35.65,36.70,40.39,40.84,39.96,40.08,40.18,40.14,40.43,42.63,42.69
2024-03-18,36.41,36.34,36.34,36.32,36.22,36.38,36.82,35.65,36.70,40.39,40.84,39.96,40.08,40.18,40.14,40.43,42.63
2024-03-19,36.39,36.07,36.07,36.34,36.32,36.22,36.38,36.82,35.65,36.70,40.39,40.84,39.96,40.08,40.18,40.14,40.43
2024-03-20,36.23,36.70,36.70,36.07,36.34,36.32,36.22,36.38,36.82,35.65,36.70,40.39,40.84,39.96,40.08,40.18,40.14
2024-03-21,36.85,35.70,35.70,36.70,36.07,36.34,36.32,36.22,36.38,36.82,35.65,36.70,40.39,40.84,39.96,40.08,40.18
2024-03-22,35.90,36.05,36.05,35.70,36.70,36.07,36.34,36.32,36.22,36.38,36.82,35.65,36.70,40.39,40.84,39.96,40.08
2024-03-25,36.18,36.60,36.60,36.05,35.70,36.70,36.07,36.34,36.32,36.22,36.38,36.82,35.65,36.70,40.39,40.84,39.96
2024-03-26,36.67,36.26,36.26,36.60,36.05,35.70,36.70,36.07,36.34,36.32,36.22,36.38,36.82,35.65,36.70,40.39,40.84
2024-03-27,36.28,36.55,36.55,36.26,36.60,36.05,35.70,36.70,36.07,36.34,36.32,36.22,36.38,36.82,35.65,36.70,40.39
2024-03-28,36.50,37.36,37.36,36.55,36.26,36.60,36.05,35.70,36.70,36.07,36.34,36.32,36.22,36.38,36.82,35.65,36.70
2024-04-01,37.50,37.65,37.65,37.36,36.55,36.26,36.60,36.05,35.70,36.70,36.07,36.34,36.32,36.22,36.38,36.82,35.65
2024-04-02,37.82,38.62,38.62,37.65,37.36,36.55,36.26,36.60,36.05,35.70,36.70,36.07,36.34,36.32,36.22,36.38,36.82
2024-04-03,38.70,38.42,38.42,38.62,37.65,37.36,36.55,36.26,36.60,36.05,35.70,36.70,36.07,36.34,36.32,36.22,36.38
2024-04-04,38.47,37.98,37.98,38.42,38.62,37.65,37.36,36.55,36.26,36.60,36.05,35.70,36.70,36.07,36.34,36.32,36.22
2024-04-05,37.90,38.10,38.10,37.98,38.42,38.62,37.65,37.36,36.55,36.26,36.60,36.05,35.70,36.70,36.07,36.34,36.32
2024-04-08,38.03,38.63,38.63,38.10,37.98,38.42,38.62,37.65,37.36,36.55,36.26,36.60,36.05,35.70,36.70,36.07,36.34
2024-04-09,38.90,38.73,38.73,38.63,38.10,37.98,38.42,38.62,37.65,37.36,36.55,36.26,36.60,36.05,35.70,36.70,36.07
2024-04-10,38.73,39.59,39.59,38.73,38.63,38.10,37.98,38.42,38.62,37.65,37.36,36.55,36.26,36.60,36.05,35.70,36.70
2024-04-11,39.60,39.30,39.30,39.59,38.73,38.63,38.10,37.98,38.42,38.62,37.65,37.36,36.55,36.26,36.60,36.05,35.70
2024-04-12,39.72,38.94,38.94,39.30,39.59,38.73,38.63,38.10,37.98,38.42,38.62,37.65,37.36,36.55,36.26,36.60,36.05
2024-04-15,38.94,39.31,39.31,38.94,39.30,39.59,38.73,38.63,38.10,37.98,38.42,38.62,37.65,37.36,36.55,36.26,36.60
2024-04-16,39.01,39.49,39.49,39.31,38.94,39.30,39.59,38.73,38.63,38.10,37.98,38.42,38.62,37.65,37.36,36.55,36.26
2024-04-17,39.49,39.78,39.78,39.49,39.31,38.94,39.30,39.59,38.73,38.63,38.10,37.98,38.42,38.62,37.65,37.36,36.55
2024-04-18,40.00,39.85,39.85,39.78,39.49,39.31,38.94,39.30,39.59,38.73,38.63,38.10,37.98,38.42,38.62,37.65,37.36
2024-04-19,40.05,40.53,40.53,39.85,39.78,39.49,39.31,38.94,39.30,39.59,38.73,38.63,38.10,37.98,38.42,38.62,37.65
2024-04-22,40.76,41.50,41.50,40.53,39.85,39.78,39.49,39.31,38.94,39.30,39.59,38.73,38.63,38.10,37.98,38.42,38.62
